STRING_id	gene_symbol	ensembl_id	entrezgene	uniprot_id
9606.ENSP00000442656	ACVR1B	ENSG00000135503	91	P36896
9606.ENSP00000243349	ACVR1C	ENSG00000123612	130399	Q8NER5
9606.ENSP00000241416	ACVR2A	ENSG00000121989	92	P27037
9606.ENSP00000340361	ACVR2B	ENSG00000114739	93	Q13705
9606.ENSP00000373574	ACVRL1	ENSG00000139567	94	P37023
9606.ENSP00000384296	ACY1	ENSG00000243989	95	Q03154
9606.ENSP00000255082	ACY3	ENSG00000132744	91703	Q96HD9
9606.ENSP00000238618	ACYP1	ENSG00000119640	97	P07311
9606.ENSP00000378161	ACYP2	ENSG00000170634	98	P14621
9606.ENSP00000361965	ADA	ENSG00000196839	100	P00813
9606.ENSP00000262607	ADA2	ENSG00000093072	51816	Q9NZK5
9606.ENSP00000296513	ADAD1	ENSG00000164113	132612	Q96M93
9606.ENSP00000268624	ADAD2	ENSG00000140955	161931	Q8NCV1
9606.ENSP00000413074	ADAL	ENSG00000168803	161823	Q6DHV7
9606.ENSP00000260408	ADAM10	ENSG00000137845	102	O14672
9606.ENSP00000200557	ADAM11	ENSG00000073670	4185	O75078
9606.ENSP00000357668	ADAM12	ENSG00000148848	8038	O43184
9606.ENSP00000349436	ADAM15	ENSG00000143537	8751	Q13444
9606.ENSP00000309968	ADAM17	ENSG00000151694	6868	P78536
9606.ENSP00000265707	ADAM18	ENSG00000168619	8749	Q9Y3Q7
9606.ENSP00000257527	ADAM19	ENSG00000135074	8728	Q9H013
9606.ENSP00000265708	ADAM2	ENSG00000104755	2515	Q99965
9606.ENSP00000256389	ADAM20	ENSG00000134007	8748	O43506
9606.ENSP00000265727	ADAM22	ENSG00000008277	53616	Q9P0K1
9606.ENSP00000264377	ADAM23	ENSG00000114948	8745	O75077
9606.ENSP00000265769	ADAM28	ENSG00000042980	10863	Q9UKQ2
9606.ENSP00000352177	ADAM29	ENSG00000168594	11086	Q9UKF5
9606.ENSP00000358407	ADAM30	ENSG00000134249	11085	Q9UKF2
9606.ENSP00000369238	ADAM32	ENSG00000197140	203102	Q8TC27
9606.ENSP00000348912	ADAM33	ENSG00000149451	80332	Q9BZ11
9606.ENSP00000175238	ADAM7	ENSG00000069206	8756	Q9H2U9
9606.ENSP00000453302	ADAM8	ENSG00000151651	101	P78325
9606.ENSP00000419446	ADAM9	ENSG00000168615	8754	Q13443
9606.ENSP00000256412	ADAMDEC1	ENSG00000134028	27299	O15204
9606.ENSP00000284984	ADAMTS1	ENSG00000154734	9510	Q9UHI8
9606.ENSP00000270328	ADAMTS10	ENSG00000142303	81794	Q9H324
9606.ENSP00000422554	ADAMTS12	ENSG00000151388	81792	P58397
9606.ENSP00000360997	ADAMTS13	ENSG00000160323	11093	Q76LX8
9606.ENSP00000362304	ADAMTS14	ENSG00000138316	140766	Q8WXS8
9606.ENSP00000299164	ADAMTS15	ENSG00000166106	170689	Q8TE58
9606.ENSP00000274181	ADAMTS16	ENSG00000145536	170690	Q8TE57
9606.ENSP00000268070	ADAMTS17	ENSG00000140470	170691	Q8TE56
9606.ENSP00000282849	ADAMTS18	ENSG00000140873	170692	Q8TE60
9606.ENSP00000274487	ADAMTS19	ENSG00000145808	171019	Q8TE59
9606.ENSP00000251582	ADAMTS2	ENSG00000087116	9509	O95450
9606.ENSP00000374071	ADAMTS20	ENSG00000173157	80070	P59510
9606.ENSP00000286657	ADAMTS3	ENSG00000156140	9508	O15072
9606.ENSP00000356975	ADAMTS4	ENSG00000158859	9507	O75173
9606.ENSP00000284987	ADAMTS5	ENSG00000154736	11096	Q9UNA0
9606.ENSP00000370443	ADAMTS6	ENSG00000049192	11174	Q9UKP5
9606.ENSP00000373472	ADAMTS7	ENSG00000136378	11173	Q9UKP4
9606.ENSP00000257359	ADAMTS8	ENSG00000134917	11095	Q9UP79
9606.ENSP00000418735	ADAMTS9	ENSG00000163638	56999	Q9P2N4
9606.ENSP00000369921	ADAMTSL1	ENSG00000178031	92949	Q8N6G6
9606.ENSP00000346478	ADAMTSL2	ENSG00000197859	9719	Q86TH1
9606.ENSP00000286744	ADAMTSL3	ENSG00000156218	57188	P82987
9606.ENSP00000271643	ADAMTSL4	ENSG00000143382	54507	Q6UY14
9606.ENSP00000327608	ADAMTSL5	ENSG00000185761	339366	Q6ZMM2
9606.ENSP00000265846	ADAP1	ENSG00000105963	11033	O75689
9606.ENSP00000329468	ADAP2	ENSG00000184060	55803	Q9NPF8
