Gene	Gene.synonym	Ensembl	Gene.description	Uniprot	Protein.class	Evidence	HPA.evidence	UniProt.evidence
TMEM258	C11orf10	ENSG00000134825	Transmembrane protein 258	P61165	Predicted membrane proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
TMEM266	C15orf27, FLJ38190	ENSG00000169758	Transmembrane protein 266	Q2M3C6	Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
TMEM268	C9orf91, DKFZp547P234, FLJ38045	ENSG00000157693	Transmembrane protein 268	Q5VZI3	Predicted membrane proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
TMEM50A	SMP1	ENSG00000183726	Transmembrane protein 50A	O95807	Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level
TMEM63B	C6orf110, dJ421H19.2, DKFZp434P0531	ENSG00000137216	Transmembrane protein 63B	Q5T3F8	Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level
TMPRSS15	ENTK, MGC133046, PRSS7	ENSG00000154646	Transmembrane serine protease 15	P98073	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
TMTC2	DKFZp762A217	ENSG00000179104	Transmembrane and tetratricopeptide repeat containing 2	Q8N394	Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
TNFRSF10D	CD264, DcR2, TRAILR4, TRUNDD	ENSG00000173530	TNF receptor superfamily member 10d	Q9UBN6	Cancer-related genes, CD markers, Predicted membrane proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
TNFRSF11A	CD265, FEO, LOH18CR1, PDB2, RANK	ENSG00000141655	TNF receptor superfamily member 11a	Q9Y6Q6	CD markers, Disease related genes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
TNFRSF12A	CD266, FN14, TweakR	ENSG00000006327	TNF receptor superfamily member 12A	Q9NP84	Cancer-related genes, CD markers, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
TNFRSF21	CD358, DR6	ENSG00000146072	TNF receptor superfamily member 21	O75509	CD markers, Plasma proteins, Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
TNFRSF8	CD30, D1S166E, KI-1	ENSG00000120949	TNF receptor superfamily member 8	P28908	Cancer-related genes, CD markers, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
TNFRSF9	4-1BB, CD137, ILA	ENSG00000049249	TNF receptor superfamily member 9	Q07011	Cancer-related genes, CD markers, Predicted membrane proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
